Season,no_of_overtakes,name
2016,33,Canadian Grand Prix
2016,80,European Grand Prix
2016,78,Austria Grand Prix
2016,16,Great Britain Grand Prix
2016,12,Hungarian Grand Prix
2016,58,German Grand Prix
2016,50,Belgium Grand Prix
2016,49,Italian Grand Prix
2016,40,Singapore Grand Prix
2016,44,Malaysian Grand Prix
2016,50,Japanese Grand Prix
2016,57,USA Grand Prix
2016,26,Mexican Grand Prix
2016,65,Brazilian Grand Prix
2016,43,Abu Dhabi Grand Prix
2016,1097,
2017,2,Australian Grand Prix
2017,36,Chinese Grand Prix
2017,38,Bahrain Grand Prix
2017,0,Russian Grand Prix
2017,20,Spanish Grand Prix
2017,3,Monaco Grand Prix
2017,34,Canadian Grand Prix
2017,48,Azerbaijan Grand Prix
2017,13,Austria Grand Prix
2017,39,Great Britain Grand Prix
2017,9,Hungarian Grand Prix
2017,42,Belgium Grand Prix
2017,38,Italian Grand Prix
2017,16,Singapore Grand Prix
2017,33,Malaysian Grand Prix
2017,19,Japanese Grand Prix
2017,44,USA Grand Prix
2017,26,Mexican Grand Prix
2017,37,Brazilian Grand Prix
2017,12,Abu Dhabi Grand Prix
2017,509,
2018,5,Australian Grand Prix
2018,62,Bahrain Grand Prix
2018,53,Chinese Grand Prix
2018,58,Azerbaijan Grand Prix
2018,13,Spanish Grand Prix
2018,4,Monaco Grand Prix
2018,15,Canadian Grand Prix
2018,52,French Grand Prix
2018,30,Austria Grand Prix
2018,33,Great Britain Grand Prix
2018,66,German Grand Prix
2018,21,Hungarian Grand Prix
2018,30,Belgium Grand Prix
2018,44,Italian Grand Prix
2018,13,Singapore Grand Prix
2018,33,Russian Grand Prix
2018,60,Japanese Grand Prix
2018,31,USA Grand Prix
2018,36,Mexican Grand Prix
2018,52,Brazilian Grand Prix
2018,38,Abu Dhabi Grand Prix
2018,749,
2019,12,Australian Grand Prix
2019,73,Bahrain Grand Prix
2019,40,Chinese Grand Prix
2019,62,Azerbaijan Grand Prix
2019,26,Spanish Grand Prix
2019,2,Monaco Grand Prix
2019,30,Canadian Grand Prix
2019,28,French Grand Prix
2019,50,Austria Grand Prix
2019,33,Great Britain Grand Prix
2019,94,German Grand Prix
2019,31,Hungarian Grand Prix
2019,63,Belgium Grand Prix
2019,45,Italian Grand Prix
2019,59,Singapore Grand Prix
2019,28,Russian Grand Prix
2019,58,Japanese Grand Prix
2019,46,Mexican Grand Prix
2019,61,USA Grand Prix
2019,71,Brazilian Grand Prix
2019,37,Abu Dhabi Grand Prix
2019,949,
2020,29,Austria Grand Prix
2020,49,Styria Grand Prix
2020,44,Hungarian Grand Prix
2020,26,Great Britain Grand Prix
2020,29,
2020,32,Spanish Grand Prix
2020,32,Belgium Grand Prix
2020,36,Italian Grand Prix
2020,19,Tuscany Grand Prix
2020,31,Russian Grand Prix
2020,41,Eifel Grand Prix
2020,69,Portuguese Grand Prix
2020,10,Emilia Romagna Grand Prix
2020,42,Turkish Grand Prix
2020,54,Bahrain Grand Prix
2020,51,Sakhir Grand Prix
2020,34,Abu Dhabi Grand Prix
2020,628,
2021,75,Bahrain Grand Prix
2021,42,Emilia Romagna Grand Prix
2021,45,Portuguese Grand Prix
2021,51,Spanish Grand Prix
2021,0,Monaco Grand Prix
2021,27,Azerbaijan Grand Prix
2021,60,French Grand Prix
2021,24,Styria Grand Prix
2021,38,Austria Grand Prix
2021,10,GB Sprint Grand Prix
2021,29,Great Britain Grand Prix
2021,17,Hungarian Grand Prix
2021,0,Belgium Grand Prix
2021,24,Dutch Grand Prix
2021,9,Italian Sprint Grand Prix
2021,23,Italian Grand Prix
2021,94,Russian Grand Prix
2021,26,Turkish Grand Prix
2021,32,USA Grand Prix
2021,23,Mexican Grand Prix
2021,17,Brazilian Sprint Grand Prix
2021,65,Brazilian Grand Prix
2021,49,Qatar Grand Prix
2021,27,Saudi Arabia Grand Prix
2021,36,Abu Dhabi Grand Prix
2021,807,
2022,78,Bahrain Grand Prix
2022,32,Saudi Arabia Grand Prix
2022,34,Australian Grand Prix
2022,18,Emilia-Romagna S Grand Prix
2022,23,Emilia Romagna Grand Prix
2022,52,Miami Grand Prix
2022,48,Spanish Grand Prix
2022,13,Monaco Grand Prix
2022,23,Azerbaijan Grand Prix
2022,35,Canadian Grand Prix
2022,31,Great Britain Grand Prix
2022,22,AustrianSprint Grand Prix
2022,67,Austria Grand Prix
2022,33,French Grand Prix
2022,61,Hungarian Grand Prix
2022,74,Belgium Grand Prix
2022,23,Dutch Grand Prix
2022,58,Italian Grand Prix
2022,16,Singapore Grand Prix
2022,28,Japanese Grand Prix
2022,85,USA Grand Prix
2022,24,Mexican Grand Prix
2022,39,Brazilian Sprint Grand Prix
2022,77,Brazilian Grand Prix
2022,79,Abu Dhabi Grand Prix
2022,994,
2023,37,Bahrain Grand Prix
2023,36,Saudi Arabia Grand Prix
2023,29,Australian Grand Prix
2023,20,Azerbaijan Sprint Grand Prix
2023,23,Azerbaijan Grand Prix
2023,62,Miami Grand Prix
2023,22,Monaco Grand Prix
2023,65,Spanish Grand Prix
2023,20,Canadian Grand Prix
2023,46,AustrianSprint Grand Prix
2023,63,Austria Grand Prix
2023,26,Great Britain Grand Prix
2023,16,Hungarian Grand Prix
2023,13,Belgium Sprint Grand Prix
2023,75,Belgium Grand Prix
2023,188,Dutch Grand Prix
2023,31,Italian Grand Prix
2023,42,Singapore Grand Prix
2023,29,Japanese Grand Prix
2023,31,Qatar Sprint Grand Prix
2023,48,Qatar Grand Prix
2023,18,USA Sprint Grand Prix
2023,47,USA Grand Prix
2023,48,Mexican Grand Prix
2023,35,Brazilian Sprint Grand Prix
2023,25,Brazilian Grand Prix
2023,99,Las Vegas Grand Prix
2023,70,Abu Dhabi Grand Prix
2023,1101,
2024,36,Bahrain Grand Prix
2024,25,Saudi Arabia Grand Prix
2024,24,Australian Grand Prix
2024,48,Japanese Grand Prix
2024,21,Chinese Sprint Grand Prix
2024,53,Chinese Grand Prix
2024,6,Miami Sprint Grand Prix
2024,41,Miami Grand Prix
2024,30,Emilia Romagna Grand Prix
2024,4,Monaco Grand Prix
2024,48,Canadian Grand Prix
2024,55,Spanish Grand Prix
2024,9,AustrianSprint Grand Prix
2024,46,Austria Grand Prix
2024,26,Great Britain Grand Prix
2024,33,Hungarian Grand Prix
2024,33,Belgium Grand Prix
2024,43,Dutch Grand Prix
2024,39,Italian Grand Prix
2024,47,Azerbaijan Grand Prix
2024,30,Singapore Grand Prix
2024,29,USA Sprint Grand Prix
2024,33,USA Grand Prix
2024,44,Mexican Grand Prix
2024,20,Brazilian Sprint Grand Prix
2024,43,Brazilian Grand Prix
2024,77,Las Vegas Grand Prix
2024,8,Qatar Sprint Grand Prix
2024,29,Qatar Grand Prix
2024,43,Abu Dhabi Grand Prix
2024,930,
